,teamID,franchID,name,city,state,primary_franchise,Active
76,PIT,PIT,Pittsburg Alleghenys,Pittsburgh,PA,Pittsburg Alleghenys,Y
77,KC2,KCC,Kansas City Cowboys,Kansas City,MO,Kansas City Cowboys,N
78,CL6,CLS,Columbus Solons,Columbus,OH,Columbus Solons,N
79,CL4,CLV,Cleveland Spiders,Cleveland,OH,Cleveland Spiders,N
80,BL3,BLO,Baltimore Orioles,Baltimore,MD,Baltimore Orioles (defunct),N
81,BR4,BRG,Brooklyn Gladiators,Brooklyn,NY,Brooklyn Gladiators,N
82,RC2,ROC,Rochester Broncos,Rochester,NY,Rochester Broncos,N
83,SR2,SYS,Syracuse Stars,Syracuse,NY,Syracuse Stars,N
84,TL2,TLM,Toledo Maumees,Toledo,OH,Toledo Maumees,N
85,BRO,LAD,Brooklyn Dodgers,Brooklyn,NY,Los Angeles Dodgers,Y
86,CIN,CIN,Cincinnati Reds,Cincinnati,OH,Cincinnati Reds,Y
87,BFP,BFB,Buffalo Bisons,Buffalo,NY,Buffalo Bisons,N
88,BRP,BWW,Brooklyn Ward's Wonders,Brooklyn,NY,Brooklyn Ward's Wonders,N
89,BSP,BRS,Boston Reds,Boston,MA,Boston Reds (defunct),N
90,CHP,CHP,Chicago Pirates,Chicago,IL,Chicago Pirates,N
91,CLP,CLI,Cleveland Infants,Cleveland,OH,Cleveland Infants,N
92,NYP,NYI,New York Giants,New York,NY,New York Giants (defunct),N
93,PHP,PHQ,Philadelphia Athletics,Philadelphia,PA,Philadelphia Athletics (defunct),N
94,PTP,PBB,Pittsburgh Burghers,Pittsburgh,PA,Pittsburgh Burghers,N
95,BS2,BRS,Boston Reds,Boston,MA,Boston Reds (defunct),N
96,CN3,CKK,Cincinnati Kelly's Killers,Cincinnati,OH,Cincinnati Kelly's Killers,N
97,ML3,MLA,Milwaukee Brewers,Milwaukee,WI,Milwaukee Brewers (defunct),N
98,WS9,WAS,Washington Statesmen,Washington DC,DC,Washington Senators,N
99,BLN,BLO,Baltimore Orioles,Baltimore,MD,Baltimore Orioles (defunct),N
100,LS3,LOU,Louisville Colonels,Louisville,KY,Louisville Colonels,N
101,SLN,STL,St. Louis Browns,St. Louis,MO,St. Louis Cardinals,Y
102,WSN,WAS,Washington Senators,Washington DC,DC,Washington Senators,N
103,BLA,NYY,Baltimore Orioles,Baltimore,MD,New York Yankees,Y
104,BOS,BOS,Boston Red Sox,Boston,MA,Boston Red Sox,Y
105,CHA,CHW,Chicago White Sox,Chicago,IL,Chicago White Sox,Y
106,CLE,CLE,Cleveland Blues,Cleveland,OH,Cleveland Blues,Y
107,DET,DET,Detroit Tigers,Detroit,MI,Detroit Tigers,Y
